"EMP_ID"	"FIRST_NAME"	"LAST_NAME"	"LASTFOUR_SSN"	"CO_MOBILE"	"CO_EMAIL"	"ACTION"	"ACTION_DATE"	"JOB_TITLE"	"SUPERVISOR_ID"	"DEPT_CODE"
975	"Jessica"	"Wilson"	"7574"	""	"jessicaw964@abcco.com"	"HIRE"	30-SEP-2022 12:00:00 AM	"IT Manager"		"ITHELP    "
47	"James"	"Mathew"	"1532"	"832-985-7854"	"jamat13@gmail.com"	"HIRE"	15-JUN-2020 10:45:30 AM	"Recruiter"	2	"HR        "
58	"Kelvin"	"Bruce"	"7849"	"512-784-9856"	"kelvinb@gmail.com"	"HIRE"	29-JUL-2020 11:26:30 AM	"IT Technical Support Specialist"	2	"ITHELP    "
88	"Johnson"	"James"	"8859"	"630-933-8748"	"johnnyjames@gmail.com"	"HIRE"	15-MAY-2019 09:17:45 AM	"Recruiter"	2	"EXADMIN   "
371	"Iri"	"Einzbern"	"9876"	"817-172-9082"	"idk@abcco.com"	"HIRE"	11-SEP-2022 11:59:59 PM	"Intern"	2	"HR        "
372	"Illya"	"Brunestud"	"9182"	"267-182-1917"	"nowidk@abcco.com"	"HIRE"	11-SEP-2022 11:59:59 PM	"IT Help Desk Manager"		"ITHELP    "
373	"Bob"	"Ross"	"1186"	"281-172-1650"	"nowirdek@abcco.com"	"HIRE"	11-SEP-2022 11:59:59 PM	"IT Technical Support Specialist"	372	"ITHELP    "
416	"Jenna"	"Hornets"	"4342"	"832-832-8322"	"jhornets@abcco.com"	"HIRE"	22-FEB-2006 10:13:47 AM	"Digital Media Supervisor"	2	"HR        "
417	"Ray"	"Hearth"	"4341"	"832-832-8321"	"rhearth@abcco.com"	"HIRE"	20-JAN-2008 10:23:08 AM	"IT Support Specialist"	1	"ITHELP    "
418	"Susie"	"Queue"	"4338"	"832-832-8320"	"squeue@abcco.com"	"HIRE"	15-MAY-2020 11:18:34 AM	"Service Desk Manager II"	2	"ITHELP    "
2102	"Richard"	"Mawson"	"6489"	"713-598-3156"	"rmawson@abcco.com"	"HIRE"	26-JUN-2022 10:33:35 AM	"Recruiter"	2	"HR        "
2103	"Ronnie"	"Belfort"	"7618"	"281-147-3496"	"rbelfort@abcco.com"	"HIRE"	17-MAY-2022 11:16:03 AM	"Systems Analyst"	1	"ITHELP    "
441	"Richard"	"Daze"	"8754"	"713-740-1458"	"richdaze@outlook.com"	"HIRE"	01-JUN-2018 09:10:00 AM	"Manager"	111	"EXADMIN   "
458	"Johan"	"Smith"	"3479"	"294-461-7189"	"jhnsmith@abcco.com"	"HIRE"	05-JAN-2020 03:34:23 AM	"Junior Systems Analyst"		"ITHELP    "
459	"Jessica"	"Fran"	"8495"	"859-265-5678"	"jessfran@abcco.com"	"HIRE"	15-AUG-2010 05:47:57 PM	"Financial Planning Supervisor"	901	"FIN       "
463	"Hunter"	"Scott"	"5974"	"259-615-5769"	"hunsco@abcco.com"	"HIRE"	11-FEB-2015 10:04:28 AM	"IT Security Directory"		"ITSEC     "
481	"David"	"Sierra"	"6778"	"763-837-9876"	"auihfushaf@gmail.com"	"HIRE"	01-SEP-2022 01:03:05 PM	"Payroll Specialist"	1	"HR        "
71	"Bob"	"John"	"1234"	"832-444-5555"	"bjohn@abcco.com"	"HIRE"	22-JUL-2022 08:00:00 AM	"Online Relationship Specialist"	78	"SALES     "
72	"Des"	"Johnson"	"4444"	"832-222-8888"	"djohnson@abcco.com"	"HIRE"	25-JUN-2022 11:00:00 AM	"IT Technical Support Specialist"	1	"ITHELP    "
30	"William"	"Johnson"	"3338"	"281-281-2818"	"wjohnson@abcco.com"	"HIRE"	12-JAN-2019 04:39:32 PM	"Accountant"	523	"ACCT      "
31	"Sarah"	"Wrangley"	"2238"	"281-821-1288"	"swrangley@abcco.com"	"HIRE"	21-MAR-2020 12:00:00 AM	"IT Technical Support Specialist"	567	"ITHELP    "
32	"Breadas"	"Hummus"	"4458"	"281-118-2218"	"bhummus@abcco.com"	"HIRE"	11-APR-2022 12:00:00 AM	"Systems Analyst"	1	"ITHELP    "
104	"Susan"	"Blyth"	"5132"	"713-549-4421"	"sblyth@abcco.com"	"HIRE"	13-SEP-2019 12:00:00 AM	"IT Operations Director"	5	"ITHELP    "
105	"Carol"	"Rains"	"7249"	"713-455-6887"	"crains@abcco.com"	"HIRE"	21-AUG-2021 12:00:00 AM	"IT Technical Support Specialist"	104	"ITHELP    "
106	"Jackie"	"Bell"	"4015"	"832-944-6715"	"jbell@abcco.com"	"HIRE"	17-JUN-2010 12:00:00 AM	"Warehouse Manager"	359	"LOGTRAN   "
200	"John"	"James"	"9090"	"812-456-8898"	"jjames@abcco.com"	"HIRE"	20-DEC-2018 09:22:00 AM	"Financial Analyst"	459	"FIN       "
201	"Callie"	"Frisk"	"4675"	"342-423-3425"	"cfrisk@abcco.com"	"HIRE"	12-JAN-2020 11:09:30 AM	"IT Help Desk Manager"	5	"ITHELP    "
202	"Mike"	"Johnson"	"7565"	"456-324-2323"	"mjohnson@abcco.com"	"HIRE"	15-AUG-2021 09:22:00 AM	"IT Technical Support Specialist"	201	"ITHELP    "
1396	"Casey"	"Tran"	"4233"	"346-541-8755"	"catran@abcco.com"	"HIRE"	21-SEP-2023 12:25:08 PM	"Recruiter"	1181	"HR        "
1400	"Cindy"	"Kim"	"5412"	"713-832-4322"	"Kimcindy@abcco.com"	"HIRE"	15-AUG-2023 08:30:37 PM	"Senior Tax Accountant"	34	"ACCT      "
359	"Patrick"	"Alexander"	"1111"	"832-784-9998"	"pat.alex@abcco.com"	"HIRE"	11-MAY-2022 04:54:01 AM	"Director of Supply Chain and Logistics"		"LOGTRAN   "
360	"Karis"	"Kim"	"2222"	"832-531-9339"	"karis.kim@abcco.com"	"HIRE"	26-APR-2022 04:59:01 AM	"IT Admin"		"ITSEC     "
361	"Hannah"	"Lee"	"3333"	"832-719-9339"	"han.lee@abcco.com"	"CHANGE JOB TITLE"	14-JUL-2022 05:00:01 AM	"Vice President of IT Services"	5	"ITHELP    "
362	"Daisy"	"Alexander"	"4444"	"281-531-9339"	"daisy.alex@abcco.com"	"HIRE"	02-JAN-2022 05:59:01 AM	"Tranportation Technician"		"LOGTRAN   "
333	"Jeremy"	"Ortega"	"3232"	"567-391-4702"	"jdortega@hotmail.com"	"HIRE"	20-SEP-2018 08:08:15 AM	"IT Help Desk Assistant"	97	"ITHELP    "
178	"Mindy"	"Sanders"	"1212"	"765-193-4027"	"mssanders@gmail.com"	"HIRE"	10-MAR-2019 12:00:00 AM	"Scrum Master"		"ITHELP    "
444	"Jessica"	"Mendez"	"1523"	"349-218-5437"	"jmmendez@yahoo.com"	"HIRE"	08-AUG-2020 12:00:00 AM	"College Recruiting"		"HR        "
4596	"Carol"	"Johnson"	"6594"	"125-568-4598"	"crjohnson@abcco.com"	"HIRE"	15-MAY-2022 12:00:00 AM	"Communications Manager"		"HR        "
5698	"Kevin"	"Lopez"	"4158"	"425-985-4526"	"kvlopez@abcco.com"	"HIRE"	12-APR-2022 12:00:00 AM	"System Analyst"		"ITHELP    "
2698	"Bob"	"Kay"	"4169"	"125-698-4237"	"bbkay@abcco.com"	"HIRE"	10-OCT-2021 12:00:00 AM	"Information Security"		"ITHELP    "
889	"John"	"Paul"	"1615"	"832-444-3221"	"johnpaul@abcco.com"	"HIRE"	06-JAN-2005 02:30:00 PM	"HR Recruiter"	3	"HR        "
768	"Andrew"	"Parker"	"1888"	"713-213-2277"	"andrewparker2@abcco.com"	"HIRE"	28-AUG-2022 06:30:00 PM	"IT Technical Support Specialist"	912	"ITHELP    "
912	"Johnny"	"Bravo"	"2312"	"713-842-1615"	"johnnybravo@abcco.com"	"HIRE"	04-FEB-2020 03:30:00 PM	"IT Help Desk Manager"		"ITHELP    "
1502	"Jake"	"Jacobs"	"6875"	"281-548-8945"	"jjacobs321@abcco.com"	"HIRE"	08-JUN-2022 11:58:07 AM	"Senior Advisor"	1	"TECSOL    "
1501	"John"	"Doe"	"2165"	"281-567-2345"	"jdoe1258@abcco.com"	"HIRE"	20-AUG-2022 09:33:25 AM	"IT Technical Support Specialist"	2	"ITHELP    "
3124	"Lalisa"	"Manobal"	"9363"	"155-551-1234"	"llmanobal@abcco.com"	"HIRE"	10-JAN-2022 12:00:00 AM	"IT Support"	4	"ITHELP    "
3125	"Jennie"	"Kim"	"9633"	"155-551-1243"	"jnkim@abcco.com"	"HIRE"	23-AUG-2022 12:00:00 AM	"Social Media Marketing"	261	"MARK      "
9837	"Rodrick"	"Lynnal"	"8900"	"978-656-1800"	"Rodrickrocks@yahoo.com"	"HIRE"	18-MAR-2022 12:00:00 AM	"IT Technical Support Specialist"		"ITHELP    "
8387	"Jake"	"River"	"4487"	"993-659-1810"	"Jakeatstatefarms@yahoo.com"	"HIRE"	27-JUN-2022 12:00:00 AM	"Incident Manager"		"HR        "
675	"Georgia"	"Washington"	"6753"	"281-123-3456"	"GWashington@abcco.com"	"HIRE"	01-MAR-2019 09:00:00 AM	"Manager"		"TECSOL    "
674	"Samuel"	"Adams"	"3098"	"281-123-2345"	"SAdams@abcco.com"	"HIRE"	01-JUL-2021 09:00:00 AM	"Intern"		"TECSOL    "
673	"Gabe"	"Lincoln"	"8675"	"281-123-1234"	"GLincoln@abcco.com"	"HIRE"	01-APR-2022 09:00:00 AM	"Director"		"HR        "
904	"Linda"	"Robinson"	"4925"	"713-234-6432"	"lrobinson@abcco.com"	"HIRE"	01-JAN-2022 11:59:00 AM	"Training Coordinator"	1107	"HR        "
905	"Josh"	"Johnson"	"5498"	"713-567-3287"	"jjohnson@abcco.com"	"HIRE"	01-FEB-2022 11:59:00 AM	"Intern"	906	"ITHELP    "
906	"Michael"	"Jackson"	"7895"	"713-658-5496"	"mjackson@abcco.com"	"HIRE"	01-FEB-2020 11:59:00 AM	"IT Technical Support Specialist"	365	"ITHELP    "
15	"John-Jacob"	"Jingleheimer-Schmidt"	"1666"	"111-111-1122"	"JJJS@abcco.com"	"HIRE"	19-NOV-2020 12:00:00 AM	"IT Technical Support Specialist"	1	"ITHELP    "
16	"Theodor"	"Seuss Geisel"	"1667"	"111-111-1222"	"DrSuess@abcco.com"	"HIRE"	18-NOV-2020 12:00:00 AM	"Chief Medical Officer (CMO)"		"EXEC      "
331	"Maria"	"Sandoval"	"8679"	"833-544-8023"	"marisand@abcco.com"	"HIRE"	02-DEC-2022 10:30:00 AM	"Data Analyst"	4	"EXEC      "
17	"Lucifer"	"Morningstar"	"0666"	"111-111-2222"	"TheBoss@abcco.com"	"TERMINATE"	30-AUG-2022 12:00:00 AM	"CEO"		"EXEC      "
328	"Marco"	"Torres"	"5655"	"832-565-8777"	"marres@abcco.com"	"HIRE"	17-OCT-2022 09:05:10 AM	"Senior It Consultant"	4	"ITHELP    "
366	"John"	"Perez"	"9911"	"123-456-7777"	"jp3@hotmail.com"	"HIRE"	15-MAR-2022 10:10:10 AM	"IT Technical Support Specialist"	1341	"ITHELP    "
367	"Tiffany"	"Smith"	"9912"	"123-456-7778"	"ts3@hotmail.com"	"HIRE"	08-SEP-2022 10:10:10 AM	"Accounting Specialist"		"ACCT      "
404	"Jason"	"Cook"	"656 "	"713-748-1480"	"Jcook@abcco.com"	"HIRE"	15-NOV-2021 08:39:16 AM	"Systems Analyst"	1	"ITHELP    "
374	"Luke"	"Richardson"	"1234"	"832-562-6555"	"lrichardson@abcco.com"	"HIRE"	26-AUG-2022 09:24:36 AM	"Accounting Manager"		"ACCT      "
375	"Jeremy"	"Gilin"	"5678"	"832-562-6554"	"jgilin@abcco.com"	"HIRE"	26-AUG-2022 10:14:57 AM	"IT Support"	374	"ITHELP    "
376	"Helen"	"Hart"	"9012"	"281-467-4318"	"hhart@abcco.com"	"HIRE"	26-AUG-2022 08:59:11 AM	"Systems Designer"	374	"ITHELP    "
405	"Isabella"	"Ross"	"2111"	"713-648-6482"	"Iross@abcco.com"	"HIRE"	21-OCT-2021 09:03:53 AM	"IT Technical Support Specialist"	2	"ITHELP    "
186	"Ximena"	"Cozcatl"	"4380"	"281-562-4345"	"ximecatl@abcco.com"	"HIRE"	22-JUN-2022 10:40:35 PM	"Sales Representative"		"SALES     "
187	"Zjelka"	"Ivankanov"	"5623"	"281-676-4375"	"zelkyivanka@abcco.com"	"HIRE"	22-JUN-2022 10:40:35 AM	"IT Technical Support Specialist"		"ITHELP    "
188	"Giovanni"	"Pestopasta"	"6654"	"832-420-4902"	"giopestopasta@abcco.com"	"HIRE"	10-MAR-2020 09:12:22 AM	"IT Help Desk Supervisor"		"ITHELP    "
450	"Jay"	"Soni"	"4578"	"713-740-1459"	"jsoni@outlook.com"	"HIRE"	01-JAN-2010 10:10:00 AM	"Hardware Support Specialist"	887	"IT        "
455	"Susane"	"Gratery"	"7854"	"713-740-1460"	"sgratery@gmail.com"	"HIRE"	12-JUL-2017 01:10:50 PM	"Cloud Systems Analyst"	1222	"IT        "
457	"Johnathan"	"Lasso"	"5784"	"713-740-1461"	"jlasso@hotmail.com"	"HIRE"	15-MAR-2010 12:10:50 PM	"Hardware Support Specialist"	887	"IT        "
21	"Reine"	"Fontaigne"	"4444"	"832-432-8844"	"rdfontai@abcco.com"	"HIRE"	22-JUN-2022 08:53:35 AM	"Recruiter"	2	"HR        "
24	"Rafael"	"Bushkavic"	"8903"	"281-454-6868"	"rmbushka@abcco.com"	"HIRE"	18-MAY-2022 10:16:03 AM	"Systems Analyst"	1	"ITHELP    "
33	"Susan"	"Mary"	"8546"	"469-887-8901"	"smary@abcco.com"	"HIRE"	07-AUG-2022 12:00:00 AM	"Talent Acquisition Agent"	1	"HR        "
137	"Milind"	"Renjit"	"9911"	"214-787-6666"	"mrenjit@abcco.com"	"HIRE"	22-JUL-2022 12:00:00 AM	"IT Technical Support Specialist"	2	"ITHELP    "
786	"Richard"	"Bradley"	"900 "	"832-478-1536"	"richbrad@abcco.com"	"HIRE"	01-APR-2022 07:34:42 AM	"Librarian"		"EDU       "
101	"Rick"	"Arcola"	"4564"	"788-789-8789"	"ricka@abcco.com"	"HIRE"	01-SEP-2022 07:00:00 AM	"Accountant"		"ACCT      "
456	"Jake"	"Flanders"	"7487"	"713-488-9879"	"jflanders@abcco.com"	"HIRE"	01-AUG-2022 07:00:00 AM	"Senior Systems Analyst"	1	"ITHELP    "
788	"Joe"	"Lockwood"	"4671"	"713-204-3643"	"joemama@abcco.com"	"HIRE"	15-JUN-2022 12:34:47 AM	"IT Manager"		"ITHELP    "
787	"Dwayne"	"Walker"	"7860"	"346-179-1971"	"Dwalker8@abcco.com"	"HIRE"	15-JUN-2022 12:34:47 AM	"IT Technician"	788	"ITHELP    "
123	"John"	"Doe"	"1234"	"111-111-1111"	"johndoe@abcco.com"	"HIRE"	08-SEP-2022 12:00:00 AM	"Lawyer"	1	"HR        "
23	"Jane"	"Doe"	"8374"	"223-222-2222"	"janedoe@abcco.com"	"HIRE"	08-SEP-2022 12:00:00 AM	"IT Technician"	2	"ITHELP    "
784	"John"	"Smith"	"9374"	"213-222-2222"	"johnsmitbh@abcco.com"	"HIRE"	08-SEP-2022 12:00:00 AM	"IT Technician"	2	"ITHELP    "
211	"Perez"	"Jason"	"3233"	"674-736-5538"	"jasperez@abcco.com"	"HIRE"	21-JAN-2022 09:54:21 AM	"Financial Analyst"	143	"FIN       "
212	"Karima"	"Suzuka"	"9432"	"843-563-9820"	"ksuzuka@abcco.com"	"HIRE"	21-JAN-2021 04:23:42 AM	"IT Help Desk Manager"	97	"ITHELP    "
214	"Jodessi"	"Jerome"	"7985"	"832-509-4385"	"jjerome@abcco.com"	"HIRE"	02-JUL-2022 12:28:38 PM	"Finance Manager"	68	"ACCT      "
216	"Quyiot"	"Huynh"	"2460"	"832-790-1736"	"qhuynh@abcco.com"	"HIRE"	08-JUN-2022 02:23:14 PM	"IT Technical Support Specialist"		"ITHELP    "
217	"Oscar"	"Chang"	"4683"	"713-119-2842"	"ochang34@gmail.com"	"HIRE"	03-SEP-2022 09:00:00 AM	"Sales Representative"	2	"SALES     "
218	"Matt"	"Burnett"	"5821"	"713-139-2469"	"mattyb23@gmail.com"	"HIRE"	24-MAR-2021 09:00:00 AM	"Senior Help Desk Technician"	312	"ITHELP    "
7	"Phoebe"	"Blake"	"2020"	"832-123-1234"	"pblake@abcco.com"	"HIRE"	01-SEP-2021 06:00:00 AM	"Senior Advisor"		"TECSOL    "
501	"Axel"	"Wilson"	"2121"	"713-757-3147"	"awilson@hotmail.com"	"HIRE"	01-SEP-2022 06:00:00 AM	"Intern"	7	"TECSOL    "
502	"Katie"	"Ale"	"2424"	"713-987-9876"	"kale@hotmail.com"	"HIRE"	01-SEP-2022 06:00:00 AM	"Intern"	7	"HR        "
503	"Alexa"	"Walters"	"2626"	"713-123-1234"	"awalters@hotmail.com"	"HIRE"	01-SEP-2022 06:00:00 AM	"Intern"	7	"HR        "
229	"Olivia"	"Balderas"	"2648"	"979-709-8463"	"obalderas@gmail.com"	"HIRE"	05-JAN-2022 12:00:00 AM	"Systems Analyst"		"ITHELP    "
235	"Natalie"	"Carrasco"	"9371"	"979-665-2629"	"natcarrasco@gmail.com"	"HIRE"	15-MAY-2022 12:00:00 AM	"Consulting"		"CSLT      "
237	"Emaeyak"	"Bassey"	"3232"	"823-555-8787"	"emabassey@gmail.com"	"HIRE"	05-JAN-2022 12:00:00 AM	"Systems Analyst"		"ITHELP    "
239	"George"	"Gamboa"	"5480"	"979-709-7630"	"ggamboa@gmail.com"	"HIRE"	10-JUN-2022 12:00:00 AM	"IT Help Desk Manager"		"ITHELP    "
246	"Glory"	"Samuel"	"1010"	"281-524-8686"	"glsamuel@gmail.com"	"HIRE"	04-FEB-2022 12:00:00 AM	"Recruiter"		"HR        "
249	"Annable"	"Ekanem"	"1212"	"713-524-8686"	"annka@gmail.com"	"HIRE"	06-MAY-2022 12:00:00 AM	"System Analyst"		"HR        "
261	"Christopher"	"Norman"	"3334"	"713-346-7561"	"cjnormdevops@gmail.com"	"HIRE"	22-JUN-2022 08:53:35 AM	"Marketing"	2	"MARK      "
262	"Marilyn"	"Monroe"	"3339"	"281-627-0257"	"marilyn@gmail.com"	"HIRE"	18-MAY-2022 10:16:03 AM	"Systems Analyst"		"ITHELP    "
901	"Doofenshmirtz"	"Heinz"	"9988"	"832-999-2814"	"Doofenshmirtz@abcco.com"	"HIRE"	25-AUG-2022 08:53:35 AM	"Chief Financial Officer (CFO)"	1326	"EXEC      "
273	"John"	"Arbuckle"	"8756"	"281-555-9812"	"johnarbuckle@abcco.com"	"HIRE"	15-MAY-2022 04:30:25 PM	"Recruiter"		"HR        "
276	"Odie"	"Garfield"	"157 "	"832-555-1503"	"odiegarfield@abcco.com"	"HIRE"	16-MAY-2022 04:30:25 PM	"Security Analyst"		"ITSEC     "
277	"Jenny"	"Fisher"	"6392"	"713-555-0431"	"jennyfisher@abcco.com"	"HIRE"	17-MAY-2022 04:30:25 PM	"IT Technical Support Specialist"		"ITHELP    "
902	"Van Stomm"	"Buford"	"9977"	"832-888-6783"	"BufordVanStomm@abcco.com"	"CHANGE JOB TITLE"	01-MAR-2022 12:00:01 PM	"Web Services Manager"		"ITHELP    "
903	"Baljeet"	"Tjinder"	"9966"	"832-458-2683"	"BaljeetTjinder@abcco.com"	"HIRE"	30-JUL-2022 08:53:35 AM	"Support"	902	"ITHELP    "
27	"Johnny"	"Spells"	"5678"	"832-555-6789"	"jspells@abcco.com"	"HIRE"	31-AUG-2022 09:28:12 PM	"Systems Analyst"	1	"ITHELP    "
28	"Gilear"	"Faeth"	"5679"	"832-555-7890"	"gfaeth@abcco.com"	"HIRE"	02-SEP-2022 09:28:55 PM	"Recruiter"	2	"HR        "
315	"Rafael"	"Bushkavic"	"8903"	"281-727-6868"	"rmbushka@gmail.com"	"HIRE"	18-MAY-2022 10:16:03 AM	"Systems Analyst"	1	"ITHELP    "
324	"Bob"	"Williams"	"7412"	"712-658-3574"	"bobwilliams@abcco.com"	"HIRE"	18-MAY-2022 09:28:24 AM	"IT Technical Support Specialist"		"ITHELP    "
327	"John"	"Snow"	"4567"	"852-369-8741"	"johnsnow@abcco.com"	"HIRE"	22-JUN-2022 08:58:41 AM	"IT Technical Support Specialist"		"ITHELP    "
369	"Carroll"	"Brown"	"1390"	"713-675-4030"	"crbrown@abcco.com"	"CHANGE JOB TITLE"	01-AUG-2021 01:01:01 AM	"Accounting Manager"	363	"ACCT      "
